"year","PRIM_STATE","AREA","AREA_NAME","OCC_CODE","OCC_TITLE","GROUP","TOT_EMP","EMP_PRSE","JOBS_1000","LOC_QUOTIENT","A_MEAN","MEAN_PRSE","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90"
"2011","CA","36084","Oakland, CA","27-1013","Fine Artists, Including Painters, Sculptors, and Illustrators",,130,32.5,0.14,1.15,71980,13.5,35150,48770,59410,84790,117380
"2011","CA","36084","Oakland, CA","27-1021","Commercial and Industrial Designers",,190,40.3,0.194,1.15,65510,10.4,38810,44570,58940,86390,107300
"2011","CA","36084","Oakland, CA","27-1023","Floral Designers",,190,12.4,0.197,1.15,34170,11.1,21340,26380,32990,37810,53560
"2011","CA","36084","Oakland, CA","27-1024","Graphic Designers",,1680,11.7,1.767,1.15,53890,2.8,32630,38710,48940,64740,83170
"2011","CA","36084","Oakland, CA","27-1026","Merchandise Displayers and Window Trimmers",,990,28.6,1.036,1.15,29620,8.9,18890,21760,26260,33040,48500
"2011","CA","36084","Oakland, CA","27-1027","Set and Exhibit Designers",,160,38.2,0.173,1.15,52500,4.6,33760,39640,50300,60050,76860
"2011","CA","36084","Oakland, CA","27-1029","Designers, All Other",,80,32.6,0.081,1.15,84540,16.3,27650,44710,73130,120280,165240
"2011","CA","36084","Oakland, CA","27-2041","Music Directors and Composers",,310,29.2,0.327,1.14,62230,6.6,27790,47700,66970,75150,89100
"2011","CA","36084","Oakland, CA","27-3012","Public Address System and Other Announcers",,40,40,0.038,1.14,37420,7.4,31270,32960,35770,40390,46220
"2011","CA","36084","Oakland, CA","27-3022","Reporters and Correspondents",,140,36.3,0.144,1.14,56690,23.3,25920,30980,40840,61540,113060
"2011","CA","36084","Oakland, CA","27-3031","Public Relations Specialists",,1570,8.3,1.648,1.14,76540,7.7,38870,49220,64840,86010,123690
"2011","CA","36084","Oakland, CA","27-3041","Editors",,600,20.2,0.628,1.14,46510,8.7,19000,30110,44160,56440,75820
"2011","CA","36084","Oakland, CA","27-3042","Technical Writers",,370,10.1,0.393,1.14,80880,3.3,43900,64120,81960,101410,115540
"2011","CA","36084","Oakland, CA","27-3043","Writers and Authors",,190,23.7,0.196,1.14,68950,4.5,37660,46820,65010,83040,96060
"2011","CA","36084","Oakland, CA","27-3091","Interpreters and Translators",,340,21,0.356,1.14,52820,2.8,36720,42910,51780,60470,72460
"2011","CA","36084","Oakland, CA","27-3099","Media and Communication Workers, All Other",,270,24.7,0.282,1.14,44850,4.2,27910,33410,38500,49110,67530
